VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-15 22:23:46,2015-01-15 22:28:22,1,1.20,-73.949981689453125,40.779991149902344,1,N,-73.955055236816406,40.765750885009766,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2015-01-15 22:23:49,2015-01-15 22:28:44,1,.80,-73.969093322753906,40.754104614257813,1,N,-73.978599548339844,40.748001098632813,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,2015-01-15 21:55:29,2015-01-15 22:28:23,1,8.88,-73.977127075195313,40.784938812255859,1,N,-73.882080078125,40.743556976318359,2,30,0.5,0.5,0,0,0.3,31.3
2,2015-01-15 22:21:20,2015-01-15 22:28:25,1,1.08,-73.984542846679688,40.759109497070313,1,N,-73.979400634765625,40.766761779785156,1,6.5,0.5,0.5,3,0,0.3,10.8
2,2015-01-15 22:21:20,2015-01-15 22:28:38,1,1.52,-74.001136779785156,40.741546630859375,1,N,-73.980484008789063,40.742473602294922,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2015-01-15 22:21:22,2015-01-15 22:28:02,1,1.22,-73.97711181640625,40.758529663085937,1,N,-73.98388671875,40.743759155273438,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-01-15 22:21:23,2015-01-15 22:28:56,1,1.61,-73.969467163085937,40.75714111328125,1,N,-73.95294189453125,40.771568298339844,1,7.5,0.5,0.5,1.6,0,0.3,10.4
2,2015-01-15 22:22:46,2015-01-15 22:28:46,5,2.15,-73.970695495605469,40.747650146484375,1,N,-73.9522705078125,40.773910522460938,1,8,0.5,0.5,1,0,0.3,10.3
2,2015-01-15 22:22:47,2015-01-15 22:28:03,2,1.54,-73.984634399414062,40.748130798339844,1,N,-73.990646362304687,40.731502532958984,1,7,0.5,0.5,1,0,0.3,9.3
2,2015-01-15 22:19:25,2015-01-15 22:28:09,1,2.19,-73.988914489746094,40.742515563964844,1,N,-74.003875732421875,40.716815948486328,1,9,0.5,0.5,2.38,0,0.3,12.68
2,2015-01-15 22:19:27,2015-01-15 22:28:17,1,1.79,-73.977714538574219,40.746177673339844,1,N,-73.996101379394531,40.737159729003906,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2015-01-15 22:19:29,2015-01-15 22:28:30,2,2.01,-73.981956481933594,40.768138885498047,1,N,-73.96405029296875,40.774623870849609,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2015-01-15 22:19:29,2015-01-15 22:28:52,5,3.20,-73.994064331054688,40.761466979980469,1,N,-73.964164733886719,40.799766540527344,1,11,0.5,0.5,2.3,0,0.3,14.6
2,2015-01-15 22:21:25,2015-01-15 22:28:01,1,1.50,-73.996627807617188,40.623161315917969,1,N,-73.996627807617188,40.623161315917969,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-01-15 22:22:50,2015-01-15 22:28:10,1,1.20,-73.991493225097656,40.726978302001953,1,N,-73.977371215820313,40.733921051025391,1,6,0.5,0.5,1.62,0,0.3,8.92
2,2015-01-15 22:22:52,2015-01-15 22:28:45,1,1.55,-74.01495361328125,40.714241027832031,1,N,-74.007781982421875,40.704826354980469,1,7.5,0.5,0.5,1.6,0,0.3,10.4
